,id,agent,type,confidence,security,validated
0,3264933329,ClaudeCode,fix,10,1,0
1,3265118634,ClaudeCode,refactor,9,0,0
2,3265640341,ClaudeCode,feat,10,0,0
3,3265709660,ClaudeCode,feat,10,1,0
4,3265782173,ClaudeCode,chore,10,0,0
5,3231949586,ClaudeCode,feat,10,1,1
6,3231950376,ClaudeCode,feat,10,0,0
7,3231951012,ClaudeCode,feat,10,0,0
8,3231951656,ClaudeCode,feat,10,0,0
9,3231952364,ClaudeCode,feat,10,0,0
10,3231953027,ClaudeCode,feat,10,0,0
11,3231953757,ClaudeCode,feat,10,0,0
12,3231954470,ClaudeCode,feat,10,0,0
13,3231955292,ClaudeCode,feat,10,0,0
14,3232028428,ClaudeCode,build,9,0,0
15,3232844270,ClaudeCode,feat,10,0,0
16,3234102722,ClaudeCode,chore,10,0,0
17,3212961701,ClaudeCode,fix,10,1,0
18,3214555104,ClaudeCode,feat,9,0,0
19,3214724259,ClaudeCode,feat,10,0,0
20,3214782537,ClaudeCode,refactor,10,1,1
21,3214876564,ClaudeCode,fix,10,1,1
22,3215730319,ClaudeCode,fix,10,0,0
23,3215868710,ClaudeCode,feat,10,0,0
24,3216678691,ClaudeCode,docs,9,0,0
25,3216706697,ClaudeCode,feat,10,1,1
26,3216793862,ClaudeCode,fix,10,0,0
27,3164503419,ClaudeCode,fix,10,1,0
28,3164567685,ClaudeCode,fix,10,0,0
29,3164736230,ClaudeCode,feat,10,0,0
30,3165023078,ClaudeCode,refactor,9,0,0
31,3165060364,ClaudeCode,feat,10,0,0
32,3165146820,ClaudeCode,docs,10,0,0
33,3165176791,ClaudeCode,feat,10,0,0
34,3165407647,ClaudeCode,feat,10,0,0
35,3165431934,ClaudeCode,feat,10,0,0
36,3165440543,ClaudeCode,fix,10,0,0
37,3165441855,ClaudeCode,fix,10,0,0
38,3165503646,ClaudeCode,fix,10,0,0
39,3271660213,ClaudeCode,feat,10,0,0
40,3271740125,ClaudeCode,docs,10,0,0
41,3271748860,ClaudeCode,fix,10,0,0
42,3271943252,ClaudeCode,fix,10,0,0
43,3271988317,ClaudeCode,feat,10,0,0
44,3272275087,ClaudeCode,feat,10,0,0
45,3272397381,ClaudeCode,fix,10,0,0
46,3272907868,ClaudeCode,feat,10,1,1
47,3273233066,ClaudeCode,feat,10,1,0
48,3273243547,ClaudeCode,fix,10,0,0
49,3273580906,ClaudeCode,fix,9,0,0
50,3273752719,ClaudeCode,docs,10,0,0
51,3274038425,ClaudeCode,fix,9,0,0
52,3219102497,ClaudeCode,test,10,0,0
53,3219880512,ClaudeCode,feat,10,1,1
54,3220223180,ClaudeCode,fix,9,0,0
55,3220367089,ClaudeCode,fix,10,1,1
56,3221520140,ClaudeCode,fix,10,1,0
57,3222101465,ClaudeCode,refactor,9,0,0
58,2876006908,ClaudeCode,feat,10,0,0
59,2876533575,ClaudeCode,fix,9,0,0
60,2882576893,ClaudeCode,docs,10,0,0
61,2883083776,ClaudeCode,docs,10,0,0
62,2883609845,ClaudeCode,build,9,0,0
63,2886171819,ClaudeCode,fix,10,0,0
64,2888099084,ClaudeCode,chore,10,0,0
65,2888185420,ClaudeCode,feat,9,0,0
66,2888657232,ClaudeCode,fix,10,0,0
67,2889835337,ClaudeCode,feat,10,1,1
68,2889875255,ClaudeCode,feat,10,1,1
69,2889940236,ClaudeCode,fix,10,0,0
70,2889940415,ClaudeCode,feat,10,0,0
71,2892364501,ClaudeCode,feat,9,0,0
72,2892443818,ClaudeCode,feat,9,0,0
73,2894762370,ClaudeCode,feat,10,0,0
74,3246635062,ClaudeCode,feat,10,0,0
75,3246680171,ClaudeCode,docs,9,0,0
76,3246681942,ClaudeCode,build,9,0,0
77,3246684833,ClaudeCode,feat,9,0,0
78,3246764807,ClaudeCode,feat,9,0,0
79,3246796582,ClaudeCode,fix,9,0,0
80,3262310380,ClaudeCode,refactor,10,1,0
81,3262649320,ClaudeCode,fix,10,0,0
82,3263199127,ClaudeCode,fix,10,0,0
83,3263692368,ClaudeCode,fix,10,0,0
84,3263934382,ClaudeCode,feat,10,1,0
85,3098322647,ClaudeCode,feat,10,0,0
86,3098972655,ClaudeCode,chore,10,1,0
87,3142181649,ClaudeCode,feat,9,0,0
88,3142373237,ClaudeCode,feat,10,0,0
89,3144015338,ClaudeCode,fix,10,1,0
90,3145238894,ClaudeCode,feat,10,1,0
91,3145249026,ClaudeCode,feat,10,1,0
92,3145923591,ClaudeCode,feat,10,0,0
93,3146518192,ClaudeCode,ci,9,0,0
94,3146561196,ClaudeCode,feat,10,0,0
95,3165597086,ClaudeCode,feat,10,0,0
96,3165662397,ClaudeCode,feat,10,0,0
97,3165677582,ClaudeCode,refactor,10,0,0
98,3165750951,ClaudeCode,feat,10,0,0
99,3199027461,ClaudeCode,feat,10,0,0
100,3199564335,ClaudeCode,fix,10,0,0
101,3199623142,ClaudeCode,feat,10,0,0
102,3200679276,ClaudeCode,perf,9,0,0
103,3200698874,ClaudeCode,feat,10,1,1
104,3200946614,ClaudeCode,fix,10,0,0
105,3201567268,ClaudeCode,feat,10,0,0
106,3202135682,ClaudeCode,fix,10,0,0
107,3202692899,ClaudeCode,feat,10,1,1
108,3203032594,ClaudeCode,fix,10,0,0
109,3250080019,ClaudeCode,fix,10,1,1
110,3250173556,ClaudeCode,feat,9,0,0
111,3250200794,ClaudeCode,refactor,10,0,0
112,3250235391,ClaudeCode,feat,9,0,0
113,3250272016,ClaudeCode,docs,10,0,0
114,3250477735,ClaudeCode,perf,9,0,0
115,3250746691,ClaudeCode,feat,10,0,0
116,3251370397,ClaudeCode,feat,10,0,0
117,3251544513,ClaudeCode,feat,10,0,0
118,3251609070,ClaudeCode,feat,10,0,0
119,3107321792,ClaudeCode,fix,10,1,1
120,3109706862,ClaudeCode,fix,10,0,0
121,3109791380,ClaudeCode,fix,10,1,0
122,3111420697,ClaudeCode,feat,10,1,1
123,3112345209,ClaudeCode,docs,10,0,0
124,3114327280,ClaudeCode,refactor,9,0,0
125,3115027048,ClaudeCode,feat,10,1,0
126,3115558470,ClaudeCode,feat,9,0,0
127,3115760621,ClaudeCode,fix,10,0,0
128,3116600521,ClaudeCode,feat,10,0,0
129,3181506569,ClaudeCode,feat,10,1,0
130,3181578456,ClaudeCode,fix,10,0,0
131,3245454530,ClaudeCode,feat,10,1,1
132,3245456977,ClaudeCode,chore,10,0,0
133,3245466752,ClaudeCode,fix,10,0,0
134,3245552368,ClaudeCode,fix,9,0,0
135,3245584783,ClaudeCode,feat,10,1,1
136,3245668511,ClaudeCode,fix,10,1,0
137,3245746342,ClaudeCode,refactor,9,0,0
138,3245809034,ClaudeCode,feat,9,0,0
139,3258872453,ClaudeCode,fix,10,0,0
140,3258945821,ClaudeCode,feat,10,1,1
141,3259580896,ClaudeCode,feat,10,1,0
142,3260232103,ClaudeCode,feat,10,0,0
143,3260236912,ClaudeCode,feat,10,0,0
144,3260720963,ClaudeCode,feat,10,1,1
145,3260887009,ClaudeCode,fix,10,0,0
146,3187718516,ClaudeCode,feat,10,0,0
147,3188858394,ClaudeCode,feat,10,1,1
148,3188865855,ClaudeCode,feat,10,1,1
149,3189507528,ClaudeCode,feat,10,1,1
150,3190199796,ClaudeCode,feat,9,0,0
151,3190390949,ClaudeCode,fix,10,0,0
152,3086930190,ClaudeCode,feat,10,0,0
153,3088173646,ClaudeCode,feat,10,0,0
154,3088176007,ClaudeCode,feat,10,0,0
155,3088611576,ClaudeCode,feat,10,0,0
156,3090065215,ClaudeCode,feat,10,0,0
157,3091332769,ClaudeCode,feat,10,0,0
158,3094661465,ClaudeCode,feat,9,0,0
159,3132739442,ClaudeCode,feat,9,0,0
160,3132983801,ClaudeCode,refactor,9,0,0
161,3133058562,ClaudeCode,feat,10,1,1
162,3133399556,ClaudeCode,feat,10,0,0
163,3133544722,ClaudeCode,fix,10,0,0
164,3135266974,ClaudeCode,feat,10,0,0
165,3136804156,ClaudeCode,feat,9,0,0
166,3138027382,ClaudeCode,feat,10,1,1
167,3138117853,ClaudeCode,feat,10,0,0
168,3138222448,ClaudeCode,feat,10,0,0
169,3138264959,ClaudeCode,fix,10,0,0
170,3138362649,ClaudeCode,feat,10,1,1
171,3138387778,ClaudeCode,feat,10,1,1
172,3139315341,ClaudeCode,feat,10,1,0
173,3140025663,ClaudeCode,fix,10,1,1
174,3140073726,ClaudeCode,feat,10,0,0
175,3141541564,ClaudeCode,feat,9,0,0
176,3203754242,ClaudeCode,feat,10,0,0
177,3203856259,ClaudeCode,docs,10,0,0
178,3203910456,ClaudeCode,feat,10,0,0
179,3204479528,ClaudeCode,fix,9,0,0
180,3204637024,ClaudeCode,feat,10,0,0
181,3204772289,ClaudeCode,feat,10,1,1
182,3204784776,ClaudeCode,docs,10,1,0
183,3204995137,ClaudeCode,feat,10,0,0
184,3205273752,ClaudeCode,feat,10,1,1
185,3205734508,ClaudeCode,feat,9,0,0
186,3205839196,ClaudeCode,feat,10,0,0
187,3205893657,ClaudeCode,feat,8,0,0
188,3246950577,ClaudeCode,fix,10,0,0
189,3247725112,ClaudeCode,docs,10,0,0
190,3248139288,ClaudeCode,docs,10,1,0
191,3248210397,ClaudeCode,feat,10,0,0
192,3248259820,ClaudeCode,fix,10,0,0
193,3248781517,ClaudeCode,feat,10,0,0
194,3249619721,ClaudeCode,feat,10,0,0
195,3250024089,ClaudeCode,feat,10,1,1
196,3175209026,ClaudeCode,fix,10,0,0
197,3176357483,ClaudeCode,ci,9,0,0
198,3176421116,ClaudeCode,ci,9,0,0
199,3176427591,ClaudeCode,ci,9,0,0
200,3177654490,ClaudeCode,feat,10,0,0
201,3178007458,ClaudeCode,feat,10,1,1
202,3179729495,ClaudeCode,feat,10,1,0
203,3243533799,ClaudeCode,feat,9,0,0
204,3244853040,ClaudeCode,fix,10,0,0
205,3244896143,ClaudeCode,chore,9,0,0
206,3245011006,ClaudeCode,feat,10,0,0
207,3245161961,ClaudeCode,feat,10,1,0
208,3245313058,ClaudeCode,fix,10,0,0
209,3245346788,ClaudeCode,feat,10,0,0
210,3266170682,ClaudeCode,feat,10,0,0
211,3266316354,ClaudeCode,feat,10,0,0
212,3266626830,ClaudeCode,fix,10,0,0
